Game Date,Home or Away Game,Opponent,Win or Loss,CU Score,Opponent Score,Notes,
10/20/18, away, Washington, L,13,27, ,  
10/13/18, away, USC, L,20,31, ,  
10/6/18, home, Arizona State, W,28,21, ,  
9/28/18, home, UCLA, W,38,16, ,  
9/15/18, home, New Hampshire, W,45,14, ,  
9/8/18, away, Nebraska, W,33,28, ,  
8/31/18, other, Colorado State, W,45,13, Denver CO,  
11/25/17, away, Utah, L,13,34, ,  
11/11/17, home, USC, L,24,38, ,  
11/4/17, away, Arizona State, L,30,41, ,  
10/28/17, home, California, W,44,28, ,  
10/21/17, away, Washington State, L,0,28, ,  
10/14/17, away, Oregon State, W,36,33, ,  
10/7/17, home, Arizona, L,42,45, ,  
9/30/17, away, UCLA, L,23,27, ,  
9/23/17, home, Washington, L,10,37, ,  
9/16/17, home, Northern Colorado, W,41,21, ,  
9/9/17, home, Texas State, W,37,3, ,  
9/1/17, other, Colorado State, W,17,3, Denver CO,  
12/2/16, other, Washington, L,10,41, Santa Clara CA,  
11/26/16, home, Utah, W,27,22, ,  
11/19/16, home, Washington State, W,38,24, ,  
11/12/16, away, Arizona, W,49,24, ,  
11/3/16, home, UCLA, W,20,10, ,  
10/22/16, away, Stanford, W,10,5, ,  
10/15/16, home, Arizona State, W,40,16, ,  
10/8/16, away, Southern California, L,17,21, ,  
10/1/16, home, Oregon State, W,47,6, ,  
9/17/16, away, Michigan, L,28,45, ,  
9/10/16, home, Idaho State, W,56,7, ,  
9/2/16, other, Colorado State, W,44,7, Denver CO, Pac-12 Championship 
11/28/15, away, Utah, L,14,20, ,  
11/21/15, away, Washington State, L,3,27, ,  
11/13/15, home, Southern California, L,24,27, ,  
11/7/15, home, Stanford, L,10,42, ,  
10/31/15, away, UCLA, L,31,35, ,  
10/24/15, away, Oregon State, W,17,13, ,  
10/17/15, home, Arizona, L,31,38, ,  
10/10/15, away, Arizona State, L,23,48, ,  
10/3/15, home, Oregon, L,24,41, ,  
9/26/15, home, Nicholls State, W,48,0, ,  
9/19/15, other, Colorado State, W,27,24, Denver CO,  
9/12/15, home, Massachusetts, W,48,14, ,  
9/3/15, away, Hawaii, L,20,28, ,  
11/29/14, home, Utah, L,34,38, ,  
11/22/14, away, Oregon, L,10,44, ,  
11/8/14, away, Arizona, L,20,38, ,  
11/1/14, home, Washington, L,23,38, ,  
10/25/14, home, UCLA, L,37,40, ,  
10/18/14, away, Southern California, L,28,56, ,  
10/4/14, home, Oregon State, L,31,36, ,  
9/27/14, away, California, L,56,59, ,  
9/20/14, home, Hawaii, W,21,12, ,  
9/13/14, home, Arizona State, L,24,38, ,  
9/6/14, away, Massachusetts, W,41,38, ,  
8/29/14, other, Colorado State, L,17,31, Denver CO,  
11/30/13, away, Utah, L,17,24, ,  
11/23/13, home, Southern California, L,29,47, ,  
11/16/13, home, California, W,41,24, ,  
11/9/13, away, Washington, L,7,59, ,  
11/2/13, away, UCLA, L,23,45, ,  
10/26/13, home, Arizona, L,20,44, ,  
10/19/13, home, Charleston Southern, W,43,10, ,  
10/12/13, away, Arizona State, L,13,54, ,  
10/5/13, home, Oregon, L,16,57, ,  
9/28/13, away, Oregon State, L,17,44, ,  
9/7/13, home, Central Arkansas, W,38,24, ,  
9/1/13, other, Colorado State, W,41,27, Denver CO,  
11/23/12, home, Utah, L,35,42, ,  
11/17/12, home, Washington, L,3,38, ,  
11/10/12, away, Arizona, L,31,56, ,  
11/3/12, home, Stanford, L,0,48, ,  
10/27/12, away, Oregon, L,14,70, ,  
10/20/12, away, Southern California, L,6,50, ,  
10/11/12, home, Arizona State, L,17,51, ,  
9/29/12, home, UCLA, L,14,42, ,  
9/22/12, away, Washington State, W,35,34, ,  
9/15/12, away, Fresno State, L,14,69, ,  
9/8/12, home, Sacramento State, L,28,30, ,  
9/1/12, other, Colorado State, L,17,22, Denver CO,  
11/25/11, away, Utah, W,17,14, ,  
11/19/11, away, UCLA, L,6,45, ,  
11/12/11, home, Arizona, W,48,29, ,  
11/4/11, home, Southern California, L,17,42, ,  
10/29/11, away, Arizona State, L,14,48, ,  
10/22/11, home, Oregon, L,2,45, ,  
10/15/11, away, Washington, L,24,52, ,  
10/8/11, away, Stanford, L,7,48, ,  
10/1/11, home, Washington State, L,27,31, ,  
9/24/11, away, Ohio State, L,17,37, ,  
9/17/11, other, Colorado State, W,28,14, Denver CO,  
9/10/11, home, California, L,33,36, ,  
9/3/11, away, Hawaii, L,17,34, ,  
11/26/10, away, Nebraska, L,17,45, ,  
11/20/10, home, Kansas State, W,44,36, ,  
11/13/10, home, Iowa State, W,34,14, ,  
11/6/10, away, Kansas, L,45,52, ,  
10/30/10, away, Oklahoma, L,10,43, ,  
10/23/10, home, Texas Tech, L,24,27, ,  
10/16/10, home, Baylor, L,25,31, ,  
10/9/10, away, Missouri, L,0,26, ,  
10/2/10, home, Georgia, W,29,27, ,  
9/18/10, home, Hawaii, W,31,13, ,  
9/11/10, away, California, L,7,52, ,  
9/4/10, other, Colorado State, W,24,3, Denver CO,  
11/27/09, home, Nebraska, L,20,28, ,  
11/19/09, away, Oklahoma State, L,28,31, ,  
11/14/09, away, Iowa State, L,10,17, ,  
11/7/09, home, Texas A&M, W,35,34, ,  
10/31/09, home, Missouri, L,17,36, ,  
10/24/09, away, Kansas State, L,6,20, ,  
10/17/09, home, Kansas, W,34,30, ,  
10/10/09, away, Texas, L,14,38, ,  
10/1/09, away, West Virginia, L,24,35, ,  
9/19/09, home, Wyoming, W,24,0, ,  
9/11/09, away, Toledo, L,38,54, ,  
9/6/09, home, Colorado State, L,17,23, ,  
11/28/08, away, Nebraska, L,31,40, ,  
11/15/08, home, Oklahoma State, L,17,30, ,  
11/8/08, home, Iowa State, W,28,24, ,  
11/1/08, away, Texas A&M, L,17,24, ,  
10/25/08, away, Missouri, L,0,58, ,  
10/18/08, home, Kansas State, W,14,13, ,  
10/11/08, away, Kansas, L,14,30, ,  
10/4/08, home, Texas, L,14,38, ,  
9/27/08, other, Florida State, L,21,39, Jacksonville FL,  
9/18/08, home, West Virginia, W,17,14, ,  
9/6/08, home, Eastern Washington, W,31,24, ,  
8/31/08, other, Colorado State, W,38,17, Denver CO,  
12/30/07, other, Alabama, L,24,30, Shreveport LA,  
11/23/07, home, Nebraska, W,65,51, ,  
11/10/07, away, Iowa State, L,28,31, ,  
11/3/07, home, Missouri, L,10,55, ,  
10/27/07, away, Texas Tech, W,31,26, ,  
10/20/07, home, Kansas, L,14,19, ,  
10/13/07, away, Kansas State, L,20,47, ,  
10/6/07, away, Baylor, W,43,23, ,  
9/29/07, home, Oklahoma, W,27,24, ,  
9/22/07, home, Miami, W,42,0, ,  
9/15/07, home, Florida State, L,6,16, ,  
9/8/07, away, Arizona State, L,14,33, ,  
9/1/07, other, Colorado State, W,31,28, Denver CO, Independence Bowl 
11/24/06, away, Nebraska, L,14,37, ,  
11/11/06, home, Iowa State, W,33,16, ,  
11/4/06, home, Kansas State, L,21,34, ,  
10/28/06, away, Kansas, L,15,20, ,  
10/21/06, away, Oklahoma, L,3,24, ,  
10/14/06, home, Texas Tech, W,30,6, ,  
10/7/06, home, Baylor, L,31,34, ,  
9/30/06, away, Missouri, L,13,28, ,  
9/23/06, away, Georgia, L,13,14, ,  
9/16/06, home, Arizona State, L,3,21, ,  
9/9/06, other, Colorado State, L,10,14, Denver CO,  
9/2/06, home, Montana State, L,10,19, ,  
12/27/05, other, Clemson, L,10,19, Orlando FL,  
12/3/05, other, Texas, L,3,70, Houston TX,  
11/25/05, home, Nebraska, L,3,30, ,  
11/12/05, away, Iowa State, L,16,30, ,  
11/5/05, home, Missouri, W,41,12, ,  
10/29/05, away, Kansas State, W,23,20, ,  
10/22/05, home, Kansas, W,44,13, ,  
10/15/05, away, Texas, L,17,42, ,  
10/8/05, home, Texas A&M, W,41,20, ,  
10/1/05, away, Oklahoma State, W,34,0, ,  
9/24/05, away, Miami, L,3,23, ,  
9/10/05, home, New Mexico State, W,39,0, , Big 12 Championship 
9/3/05, home, Colorado State, W,31,28, , Champs Sports Bowl 
12/29/04, other, Texas-El Paso, W,33,28, Houston TX,  
12/4/04, other, Oklahoma, L,3,42, Kansas City MO,  
11/26/04, away, Nebraska, W,26,20, ,  
11/13/04, home, Kansas State, W,38,31, ,  
11/6/04, away, Kansas, W,30,21, ,  
10/30/04, home, Texas, L,7,31, ,  
10/23/04, away, Texas A&M, L,26,29, ,  
10/16/04, home, Iowa State, W,19,14, ,  
10/9/04, home, Oklahoma State, L,14,42, ,  
10/2/04, away, Missouri, L,9,17, ,  
9/18/04, home, North Texas, W,52,21, ,  
9/11/04, other, Washington State, W,20,12, Seattle WA, Big 12 Championship 
9/4/04, home, Colorado State, W,27,24, , Houston Bowl 
11/28/03, home, Nebraska, L,22,31, ,  
11/15/03, away, Iowa State, W,44,10, ,  
11/8/03, home, Missouri, W,21,16, ,  
11/1/03, away, Texas Tech, L,21,26, ,  
10/25/03, home, Oklahoma, L,20,34, ,  
10/18/03, away, Kansas State, L,20,49, ,  
10/11/03, home, Kansas, W,50,47, ,  
10/4/03, away, Baylor, L,30,42, ,  
9/20/03, away, Florida State, L,7,47, ,  
9/13/03, home, Washington State, L,26,47, ,  
9/6/03, home, UCLA, W,16,14, ,  
8/30/03, other, Colorado State, W,42,35, Denver CO,  
12/28/02, other, Wisconsin, L,28,31, San Antonio TX,  
12/7/02, other, Oklahoma, L,7,29, Houston TX,  
11/29/02, away, Nebraska, W,28,13, ,  
11/16/02, home, Iowa State, W,41,27, ,  
11/9/02, away, Missouri, W,42,35, ,  
11/2/02, away, Oklahoma, L,11,27, ,  
10/26/02, home, Texas Tech, W,37,13, ,  
10/19/02, home, Baylor, W,34,0, ,  
10/12/02, away, Kansas, W,53,29, ,  
10/5/02, home, Kansas State, W,35,31, ,  
9/21/02, away, UCLA, W,31,17, ,  
9/14/02, home, Southern California, L,3,40, ,  
9/7/02, home, San Diego State, W,34,14, , Big 12 Championship 
8/31/02, other, Colorado State, L,14,19, Denver CO, Alamo Bowl 
12/1/01, other, Texas, W,39,37, Dallas TX, Jim Thorpe Classic 
11/23/01, home, Nebraska, W,62,36, ,  
11/10/01, away, Iowa State, W,40,27, ,  
11/3/01, home, Missouri, W,38,24, ,  
10/27/01, away, Oklahoma State, W,22,19, ,  
10/20/01, away, Texas, L,7,41, ,  
10/13/01, home, Texas A&M, W,31,21, ,  
10/6/01, away, Kansas State, W,16,6, ,  
9/22/01, home, Kansas, W,27,16, ,  
9/8/01, home, San Jose State, W,51,15, ,  
9/1/01, other, Colorado State, W,41,14, Denver CO,  
8/26/01, other, Fresno State, L,22,24, Boulder CO, Big 12 Championship 
1/1/01, other, Oregon, L,16,38, Tempe AZ, Fiesta Bowl 
11/24/00, away, Nebraska, L,32,34, ,  
11/11/00, home, Iowa State, L,27,35, ,  
11/4/00, away, Missouri, W,28,18, ,  
10/28/00, home, Oklahoma State, W,37,21, ,  
10/21/00, away, Kansas, L,15,23, ,  
10/14/00, home, Texas, L,14,28, ,  
10/7/00, away, Texas A&M, W,26,19, ,  
9/30/00, home, Kansas State, L,21,44, ,  
9/16/00, home, Washington, L,14,17, ,  
9/9/00, away, Southern California, L,14,17, ,  
9/2/00, other, Colorado State, L,24,28, Denver CO,  
12/31/99, other, Boston College, W,62,28, Tucson AZ,  
11/26/99, home, Nebraska, L,30,33, ,  
11/13/99, away, Baylor, W,37,0, ,  
11/6/99, away, Kansas State, L,14,20, ,  
10/30/99, home, Oklahoma, W,38,24, ,  
10/23/99, away, Iowa State, W,16,12, ,  
10/16/99, away, Texas Tech, L,10,31, ,  
10/9/99, home, Missouri, W,46,39, ,  
9/25/99, away, Washington, L,24,31, ,  
9/18/99, home, Kansas, W,51,17, ,  
9/11/99, home, San Jose State, W,63,35, ,  
9/4/99, other, Colorado State, L,14,41, Denver CO, Insight Bowl 
12/25/98, other, Oregon, W,51,43, Honolulu HI,  
11/27/98, away, Nebraska, L,14,16, ,  
11/14/98, home, Iowa State, W,37,8, ,  
11/7/98, away, Missouri, L,14,38, ,  
10/24/98, away, Kansas, L,17,33, ,  
10/17/98, home, Texas Tech, W,19,17, ,  
10/10/98, home, Kansas State, L,9,16, ,  
10/3/98, away, Oklahoma, W,27,25, ,  
9/26/98, home, Baylor, W,18,16, ,  
9/19/98, home, Utah State, W,25,6, ,  
9/12/98, home, Fresno State, W,29,21, ,  
9/5/98, other, Colorado State, W,42,14, Denver CO, Aloha Classic 
11/28/97, home, Nebraska, L,24,27, ,  
11/15/97, away, Kansas State, L,20,37, ,  
11/8/97, away, Iowa State, W,43,38, ,  
11/1/97, home, Missouri, L,31,41, ,  
10/25/97, away, Texas, W,47,30, ,  
10/18/97, home, Kansas, W,42,6, ,  
10/11/97, away, Oklahoma State, L,29,33, ,  
10/4/97, home, Texas A&M, L,10,16, ,  
9/27/97, home, Wyoming, W,20,19, ,  
9/13/97, away, Michigan, L,3,27, ,  
9/6/97, home, Colorado State, W,31,21, ,  
12/30/96, other, Washington, W,33,21, San Diego CA,  
11/29/96, away, Nebraska, L,12,17, ,  
11/16/96, home, Kansas State, W,12,0, ,  
11/9/96, home, Iowa State, W,49,42, ,  
11/2/96, away, Missouri, W,41,13, ,  
10/26/96, home, Texas, W,28,24, ,  
10/19/96, away, Kansas, W,20,7, ,  
10/12/96, home, Oklahoma State, W,35,13, ,  
9/28/96, away, Texas A&M, W,24,10, ,  
9/14/96, home, Michigan, L,13,20, ,  
9/7/96, away, Colorado State, W,48,34, ,  
8/31/96, home, Washington State, W,37,19, , Holiday Bowl 
11/18/95, away, Kansas State, W,27,17, ,  
11/11/95, home, Missouri, W,21,0, ,  
11/4/95, away, Oklahoma State, W,45,32, ,  
10/28/95, home, Nebraska, L,21,44, ,  
10/21/95, away, Iowa State, W,50,28, ,  
10/7/95, home, Kansas, L,24,40, ,  
9/30/95, away, Oklahoma, W,38,17, ,  
9/23/95, home, Texas A&M, W,29,21, ,  
9/16/95, home, Louisiana-Monroe, W,66,14, ,  
9/9/95, home, Colorado State, W,42,14, ,  
9/2/95, away, Wisconsin, W,43,7, ,  
1/1/95, other, Oregon, W,38,6, Dallas TX, Cotton Bowl 
11/19/94, home, Iowa State, W,41,20, ,  
11/12/94, away, Kansas, W,51,26, ,  
11/5/94, home, Oklahoma State, W,17,3, ,  
10/29/94, away, Nebraska, L,7,24, ,  
10/22/94, home, Kansas State, W,35,21, ,  
10/15/94, home, Oklahoma, W,45,7, ,  
10/8/94, away, Missouri, W,38,23, ,  
10/1/94, away, Texas, W,34,31, ,  
9/24/94, away, Michigan, W,27,26, ,  
9/17/94, home, Wisconsin, W,55,17, ,  
9/3/94, home, Louisiana-Monroe, W,48,13, ,  
1/2/94, other, Notre Dame, W,41,24, Tempe AZ, Fiesta Bowl 
12/25/93, other, Fresno State, W,41,30, Honolulu HI,  
11/20/93, away, Iowa State, W,21,16, ,  
11/13/93, home, Kansas, W,38,14, ,  
11/6/93, away, Oklahoma State, W,31,14, ,  
10/30/93, home, Nebraska, L,17,21, ,  
10/23/93, away, Kansas State, T,16,16, ,  
10/16/93, away, Oklahoma, W,27,10, ,  
10/9/93, home, Missouri, W,30,18, ,  
9/25/93, home, Miami, L,29,35, ,  
9/18/93, away, Stanford, L,37,41, ,  
9/11/93, home, Baylor, W,45,21, ,  
9/4/93, home, Texas, W,36,14, , Aloha Bowl 
11/21/92, home, Iowa State, W,31,10, ,  
11/14/92, away, Kansas, W,25,18, ,  
11/7/92, home, Oklahoma State, W,28,0, ,  
10/31/92, away, Nebraska, L,7,52, ,  
10/24/92, home, Kansas State, W,54,7, ,  
10/17/92, home, Oklahoma, T,24,24, ,  
10/8/92, away, Missouri, W,6,0, ,  
9/26/92, home, Iowa, W,28,12, ,  
9/19/92, away, Minnesota, W,21,20, ,  
9/12/92, away, Baylor, W,57,38, ,  
9/5/92, home, Colorado State, W,37,17, ,  
1/1/92, other, Syracuse, L,22,26, Tempe AZ, Fiesta Bowl 
12/28/91, other, Alabama, L,25,30, Miami FL,  
11/23/91, away, Iowa State, W,17,14, ,  
11/16/91, home, Kansas, W,30,24, ,  
11/9/91, away, Oklahoma State, W,16,12, ,  
11/2/91, home, Nebraska, T,19,19, ,  
10/26/91, away, Kansas State, W,10,0, ,  
10/19/91, away, Oklahoma, W,34,17, ,  
10/12/91, home, Missouri, W,55,7, ,  
9/28/91, away, Stanford, L,21,28, ,  
9/21/91, home, Minnesota, W,58,0, ,  
9/14/91, home, Baylor, L,14,16, ,  
9/7/91, home, Wyoming, W,30,13, , Blockbuster Bowl 
11/17/90, home, Kansas State, W,64,3, , Pigskin Classic 
11/10/90, home, Oklahoma State, W,41,22, ,  
11/3/90, away, Nebraska, W,27,12, ,  
10/27/90, home, Oklahoma, W,32,23, ,  
10/20/90, away, Kansas, W,41,10, ,  
10/13/90, home, Iowa State, W,28,12, ,  
10/6/90, away, Missouri, W,33,31, ,  
9/29/90, home, Washington, W,20,14, ,  
9/22/90, away, Texas, W,29,22, ,  
9/15/90, away, Illinois, L,22,23, ,  
9/6/90, home, Stanford, W,21,17, ,  
8/26/90, other, Tennessee, T,31,31, Anaheim CA,  
1/1/90, other, Notre Dame, W,10,9, Miami FL, Orange Bowl 
11/18/89, away, Kansas State, W,59,11, ,  
11/11/89, away, Oklahoma State, W,41,17, ,  
11/4/89, home, Nebraska, W,27,21, ,  
10/28/89, away, Oklahoma, W,20,3, ,  
10/21/89, home, Kansas, W,49,17, ,  
10/14/89, away, Iowa State, W,52,17, ,  
10/7/89, home, Missouri, W,49,3, ,  
9/30/89, away, Washington, W,45,28, ,  
9/16/89, home, Illinois, W,38,7, ,  
9/9/89, home, Colorado State, W,45,20, ,  
9/4/89, home, Texas, W,27,6, ,  
1/1/89, other, Notre Dame, L,6,21, Miami FL, Orange Bowl 
12/29/88, other, Brigham Young, L,17,20, Anaheim CA,  
11/19/88, home, Kansas State, W,56,14, ,  
11/12/88, away, Nebraska, L,0,7, ,  
11/5/88, away, Missouri, W,45,8, ,  
10/29/88, home, Iowa State, W,24,12, ,  
10/22/88, home, Oklahoma, L,14,17, ,  
10/15/88, away, Kansas, W,21,9, ,  
10/8/88, home, Oklahoma State, L,21,41, ,  
10/1/88, away, Colorado State, W,27,23, ,  
9/24/88, home, Oregon State, W,28,21, ,  
9/17/88, away, Iowa, W,24,21, ,  
9/10/88, home, Fresno State, W,45,3, , Freedom Bowl 
11/28/87, home, Nebraska, L,7,24, ,  
11/21/87, away, Kansas State, W,41,0, ,  
11/7/87, home, Missouri, W,27,10, ,  
10/31/87, away, Iowa State, W,42,10, ,  
10/24/87, away, Oklahoma, L,6,24, ,  
10/17/87, home, Kansas, W,35,10, ,  
10/10/87, away, Oklahoma State, L,17,42, ,  
10/3/87, away, Colorado State, W,29,16, ,  
9/26/87, home, Washington State, W,26,17, ,  
9/19/87, home, Stanford, W,31,17, ,  
9/12/87, home, Oregon, L,7,10, ,  
12/31/86, other, Baylor, L,9,21, Houston TX,  
11/22/86, away, Kansas State, W,49,3, ,  
11/15/86, home, Oklahoma, L,0,28, ,  
11/8/86, home, Kansas, W,17,10, ,  
11/1/86, away, Oklahoma State, W,31,14, ,  
10/25/86, home, Nebraska, W,20,10, ,  
10/18/86, home, Iowa State, W,31,3, ,  
10/11/86, away, Missouri, W,17,12, ,  
9/27/86, home, Arizona, L,21,24, ,  
9/20/86, away, Ohio State, L,10,13, ,  
9/13/86, away, Oregon, L,30,32, ,  
9/6/86, home, Colorado State, L,7,23, , Bluebonnet Bowl 
12/30/85, other, Washington, L,17,20, Anaheim CA,  
11/23/85, home, Kansas State, W,30,0, ,  
11/16/85, away, Oklahoma, L,0,31, ,  
11/9/85, away, Kansas, W,14,3, ,  
11/2/85, home, Oklahoma State, L,11,14, ,  
10/26/85, away, Nebraska, L,7,17, ,  
10/19/85, away, Iowa State, W,40,6, ,  
10/12/85, home, Missouri, W,38,7, ,  
9/28/85, away, Arizona, W,14,13, ,  
9/21/85, home, Ohio State, L,13,36, ,  
9/14/85, home, Oregon, W,21,17, ,  
9/7/85, home, Colorado State, W,23,10, , Freedom Bowl 
11/17/84, away, Kansas State, L,6,38, ,  
11/10/84, home, Oklahoma, L,17,42, ,  
11/3/84, home, Kansas, L,27,28, ,  
10/27/84, away, Oklahoma State, L,14,20, ,  
10/20/84, home, Nebraska, L,7,24, ,  
10/13/84, home, Iowa State, W,23,21, ,  
10/6/84, away, Missouri, L,7,52, ,  
9/29/84, home, UCLA, L,16,33, ,  
9/22/84, away, Notre Dame, L,14,55, ,  
9/15/84, away, Oregon, L,20,27, ,  
9/8/84, home, Michigan State, L,21,24, ,  
11/19/83, home, Kansas State, W,38,21, ,  
11/12/83, away, Oklahoma, L,28,41, ,  
11/5/83, away, Kansas, W,34,23, ,  
10/29/83, home, Oklahoma State, L,14,40, ,  
10/22/83, away, Nebraska, L,19,69, ,  
10/15/83, away, Iowa State, L,10,22, ,  
10/8/83, home, Missouri, L,20,59, ,  
10/1/83, home, Notre Dame, L,3,27, ,  
9/24/83, home, Oregon State, W,38,14, ,  
9/17/83, home, Colorado State, W,31,3, ,  
9/10/83, away, Michigan State, L,17,23, ,  
11/20/82, away, Kansas State, L,10,33, ,  
11/13/82, home, Kansas, W,28,3, ,  
11/6/82, away, Missouri, L,14,35, ,  
10/30/82, home, Oklahoma, L,10,45, ,  
10/23/82, home, Iowa State, L,14,31, ,  
10/16/82, away, Oklahoma State, T,25,25, ,  
10/9/82, home, Nebraska, L,14,40, ,  
10/2/82, home, UCLA, L,6,34, ,  
9/25/82, home, Wyoming, L,10,24, ,  
9/18/82, other, Washington State, W,12,0, Spokane WA,  
9/11/82, home, California, L,17,31, ,  
11/21/81, home, Kansas State, W,24,21, ,  
11/14/81, away, Kansas, L,0,27, ,  
11/7/81, home, Missouri, L,14,30, ,  
10/31/81, away, Oklahoma, L,0,49, ,  
10/24/81, away, Iowa State, L,10,17, ,  
10/17/81, home, Oklahoma State, W,11,10, ,  
10/10/81, away, Nebraska, L,0,59, ,  
10/3/81, away, UCLA, L,7,27, ,  
9/26/81, home, Brigham Young, L,20,41, ,  
9/19/81, home, Washington State, L,10,14, ,  
9/12/81, home, Texas Tech, W,45,27, ,  
11/22/80, away, Kansas State, L,14,17, ,  
11/15/80, home, Kansas, L,3,42, ,  
11/8/80, away, Oklahoma State, L,7,42, ,  
11/1/80, home, Iowa State, W,17,9, ,  
10/25/80, home, Nebraska, L,7,45, ,  
10/18/80, away, Missouri, L,7,45, ,  
10/11/80, home, Drake, L,22,41, ,  
10/4/80, home, Oklahoma, L,42,82, ,  
9/27/80, home, Indiana, L,7,49, ,  
9/20/80, away, Louisiana State, L,20,23, ,  
9/13/80, away, UCLA, L,14,56, ,  
11/24/79, home, Kansas State, W,21,6, ,  
11/17/79, away, Kansas, W,31,17, ,  
11/10/79, home, Oklahoma State, L,20,21, ,  
11/3/79, away, Iowa State, L,10,24, ,  
10/27/79, away, Nebraska, L,10,38, ,  
10/20/79, home, Missouri, L,7,13, ,  
10/6/79, away, Oklahoma, L,24,49, ,  
9/29/79, away, Indiana, W,17,16, ,  
9/22/79, home, Drake, L,9,13, ,  
9/15/79, home, Louisiana State, L,0,44, ,  
9/8/79, home, Oregon, L,19,33, ,  
11/18/78, home, Iowa State, L,16,20, ,  
11/11/78, away, Kansas State, L,10,20, ,  
11/4/78, home, Oklahoma, L,7,28, ,  
10/28/78, away, Missouri, W,28,27, ,  
10/21/78, home, Nebraska, L,14,52, ,  
10/14/78, away, Oklahoma State, L,20,24, ,  
10/7/78, home, Kansas, W,17,7, ,  
9/30/78, home, Northwestern, W,55,7, ,  
9/23/78, home, San Jose State, W,22,7, ,  
9/16/78, home, Miami, W,17,7, ,  
9/9/78, home, Oregon, W,24,7, ,  
11/19/77, home, Kansas State, W,23,0, ,  
11/12/77, away, Oklahoma, L,14,52, ,  
11/5/77, away, Iowa State, W,12,7, ,  
10/29/77, home, Missouri, L,14,24, ,  
10/22/77, away, Nebraska, L,15,33, ,  
10/15/77, away, Kansas, T,17,17, ,  
10/8/77, home, Oklahoma State, W,29,13, ,  
10/1/77, away, Army, W,31,0, ,  
9/24/77, home, New Mexico, W,42,7, ,  
9/17/77, home, Kent, W,42,0, ,  
9/10/77, home, Stanford, W,27,21, ,  
11/20/76, away, Kansas State, W,35,28, ,  
11/13/76, home, Kansas, W,40,17, ,  
11/6/76, away, Missouri, L,7,16, ,  
